Date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2004-05,-0.0191,-0.016399999999999998,0.018600000000000002,0.0055000000000000005,0.0125,0.048600000000000004,-0.0296,0.0126,0.003,-0.0042,0.015600000000000001,0.0209
2004-06,0.0167,0.053399999999999996,0.0616,0.0546,0.0345,0.026600000000000002,0.008,0.0203,0.0003,-0.005,0.0054,0.0337
2004-07,-0.059699999999999996,-0.0464,-0.0395,0.0332,-0.042800000000000005,-0.0852,-0.01,0.0106,-0.0403,-0.0593,-0.0223,-0.025099999999999997
2004-08,0.0079,-0.0223,0.0002,-0.0138,0.042699999999999995,-0.0452,0.011699999999999999,0.036699999999999997,-0.012,0.016399999999999998,0.031200000000000002,-0.0076
2004-09,-0.0202,0.023,0.0292,0.0882,-0.0015,0.0344,0.013300000000000001,0.0138,0.026099999999999998,-0.0141,0.0012,0.0329
2004-10,0.028399999999999998,-0.03,-0.0132,0.0064,-0.0174,0.051399999999999994,0.0331,0.0424,0.030600000000000002,-0.024300000000000002,0.0062,0.0213
2004-11,0.0461,0.0727,0.07780000000000001,0.0658,0.059800000000000006,0.0572,0.0363,0.0489,0.036699999999999997,0.0067,0.0461,0.048600000000000004
2004-12,0.04769999999999999,0.048799999999999996,0.0209,-0.0231,0.0348,0.030899999999999997,0.0418,0.0248,0.035,0.056600000000000004,0.0416,0.0489
2005-01,0.0023,-0.0702,-0.0203,0.030299999999999997,-0.0115,-0.0635,-0.0424,0.0176,-0.0103,-0.0408,-0.0208,-0.0235
2005-02,0.0073,-0.0025,0.0403,0.1945,0.0416,0.0002,-0.0044,0.0236,0.0063,0.024399999999999998,-0.0025,0.0096
2005-03,-0.0085,-0.08,-0.0159,-0.0344,-0.009399999999999999,-0.0255,-0.0004,0.0060999999999999995,0.0022,-0.0048,-0.0323,-0.0064
2005-04,-0.0096,-0.1105,-0.0508,-0.056100000000000004,-0.0381,-0.0449,-0.02,0.0213,-0.0528,0.0395,-0.0087,-0.030299999999999997
2005-05,0.0233,0.08810000000000001,0.0403,0.021,0.005,0.0823,0.015,0.0166,0.0643,0.0148,0.0332,0.031
2005-06,-0.0167,0.021,-0.006999999999999999,0.0576,-0.0219,-0.0169,0.0019,0.0556,0.024399999999999998,-0.0058,0.0242,-0.005
